Fechas,Colo-Colo Local,U de Chile Local,Torneo Nacional,Copa Chile,SuperCopa,Árbitro,Estadio,Público,Goles U de Chile,Goles Colo-Colo,Ganador
16/12/2007,No,Si ,Si,No,No,Enrique Osses,Nacional Julio Martínez Prádanos,35000,0,1,Colo-Colo
13/12/2007,Si,No,Si,No,No,Pablo Pozo,Monumental David Arellano,25000,0,2,Colo-Colo
21/10/2007,Si,No,Si,No,No,Carlos Chandía,Monumental David Arellano,30000,2,2,Empate
29/04/2007,No,Si ,Si,No,No,Carlos Chandía,Nacional Julio Martínez Prádanos,50000,0,0,Empate
29/10/2006,Si,No,Si,No,No,Carlos Chandía,Monumental David Arellano,30000,2,4,Colo-Colo
02/07/2006,Si,No,Si,No,No,Rubén Selman,Nacional Julio Martínez Prádanos,63000,1(2),0(4),Colo-Colo
28/06/2006,No,Si ,Si,No,No,Pablo Pozo,Nacional Julio Martínez Prádanos,28804,1,2,Colo-Colo
09/04/2006,No,Si ,Si,No,No,Carlos Chandía,Nacional Julio Martínez Prádanos,48996,1,3,Colo-Colo
09/09/2005,No,Si ,Si,No,No,Carlos Chandía,Nacional Julio Martínez Prádanos,40000,1,0,U de Chile
10/04/2005,Si,No,Si,No,No,Enrique Osses,Nacional Julio Martínez Prádanos,50000,1,1,Empate
01/08/2004,No,Si ,Si,No,No,Carlos Chandía,Nacional Julio Martínez Prádanos,19092,0,1,Colo-Colo
08/02/2004,Si,No,Si,No,No,Pablo Pozo,Nacional Julio Martínez Prádanos,25000,4,0,U de Chile
31/08/2003,Si,No,Si,No,No,Rubén Selman,Monumental David Arellano,0,1,1,Empate
16/03/2003,No,Si ,Si,No,No,Rubén Selman,Nacional Julio Martínez Prádanos,45000,0,0,Empate
10/11/2002,Si,No,Si,No,No,Guido Aros,Monumental David Arellano,40000,0,0,Empate
11/05/2002,No,Si ,Si,No,No,Pablo Pozo,Nacional Julio Martínez Prádanos,36394,0,3,Colo-Colo
09/09/2001,Si,No,Si,No,No,Eduardo Ponce,Monumental David Arellano,0,3,2,U de Chile
31/03/2001,No,Si ,Si,No,No,Guido Aros,Nacional Julio Martínez Prádanos,20000,1,1,Empate
05/11/2000,Si,No,Si,No,No,Robert Troxler,Monumental David Arellano,33537,3,1,U de Chile
17/06/2000,No,Si ,Si,No,No,Eduardo Gamboa Martínez,Nacional Julio Martínez Prádanos,40000,3,1,U de Chile
04/05/2000,No,Si ,No,Si,No,Mario Sánchez,Nacional Julio Martínez Prádanos,25000,3,1,U de Chile
Resultados,Local: 33,Local: 33,59,3,1,Más repetidos: Carlos Chandía(7)-Julio Bascuñan (8)-Roberto Tobar(7),Más repetido: Nacional Julio Martínez Prádanos (30),1858125,69,86,CC: 30 - EM: 17 - UCH: 16
